model,id,rules,ee_covered,has_delta,kleene,n_V,n_V_user,v_signatures,comp_len,has_mp1,n_dif,class_v1
kernmodel,conj_0,PrototypeContext.DesignateRootPFnavMenItem,True,True,False,0,0,,1,False,0,cheap
kernmodel,conj_1,BevoegdheidDoorgeven,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_2,Verantwoordelijke,False,True,False,1,1,Functie*Functie,2,False,0,expensive
kernmodel,conj_3,PrototypeContext.INJ1281036245684789643,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_4,PrototypeContext.INJ2929575726137283991,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_5,Compute5699103424917097406,True,True,False,0,0,,3,False,0,cheap
kernmodel,conj_6,PrototypeContext.INJ2774696913355351083,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_7,INJ3879759927614128651,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_8,GeenZelfBeoordeling,False,True,False,0,0,,4,False,0,expensive
kernmodel,conj_9,INJ4054097950467535733,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_10,mandaatIntrekkingWijze,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_11,PrototypeContext.UNI4459606978866555589,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_12,PrototypeContext.UNI1281036245684789643,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_13,PrototypeContext.UNI6587418294180737,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_14,PrototypeContext.UNI2929575726137283991,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_15,PrototypeContext.EquivalenceInsRoles,True,True,False,0,0,,3,True,0,cheap
kernmodel,conj_16,PrototypeContext.EquivalenceDelRoles,True,True,False,0,0,,3,True,0,cheap
kernmodel,conj_17,PrototypeContext.UNI1351479429284401801,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_18,PrototypeContext.FixTOTisPartOf,True,True,False,0,0,,2,False,0,cheap
kernmodel,conj_19,PrototypeContext.UNI2774696913355351083,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_20,PrototypeContext.UNI8040063340206851592,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_21,PrototypeContext.UNI2918875928466379360,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_22,PrototypeContext.UNI692238222762330918,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_23,PrototypeContext.UNI3348967980068475124,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_24,PrototypeContext.UNI6761717822398293328,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_25,PrototypeContext.UNI2905877478523814324,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_26,PrototypeContext.UNI5473307612910863708,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_27,UNI4091213749972731478,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_28,UNI4054097950467535733,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_29,Gemandateerde,False,True,False,1,1,Functie*Functie,2,False,2,expensive
kernmodel,conj_30,NamensWie,False,True,False,0,0,,2,False,0,cheap
kernmodel,conj_31,UNI1638278824755656285,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_32,mandaatvoorbehouden,False,True,False,0,0,,2,False,0,cheap
kernmodel,conj_33,UNI4463677050821158976,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_34,UNI2796588612777866818,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_35,UNI6786410405855844492,False,True,False,0,0,,3,False,0,cheap
kernmodel,conj_36,Compute3294563594874021666,True,True,False,1,0,SESSION*PrototypeContext.Role,2,True,0,cheap
kernmodel,conj_37,PrototypeContext.ASY1281036245684789643,False,True,False,0,0,,1,False,2,cheap
kernmodel,conj_38,PrototypeContext.SYM1281036245684789643,False,True,False,0,0,,1,False,0,cheap
kernmodel,conj_39,PrototypeContext.ASY2929575726137283991,False,True,False,0,0,,1,False,2,cheap
